Lambda;Red;Green;Blue
370.00;0.00355918;0.0470067;0.113887
373.33;0.00370319;0.0297058;0.07521085
376.67;0.00528866;0.022243;0.06576635
380.00;0.003288085;0.0214962;0.06822965
383.33;0.001213015;0.0234565;0.06715505
386.67;0.003961695;0.0188962;0.0645906
390.00;0.00768159;0.0181944;0.06370855
393.33;0.00544571;0.0141314;0.06541295
396.67;0.001943803;0.0151799;0.06799815
400.00;0.001728355;0.0167333;0.0716614
403.33;0.001424743;0.016005;0.0800925
406.67;0.002018778;0.0205492;0.09813775
410.00;0.00311256;0.0241043;0.1486965
413.33;0.00198033;0.0271374;0.263516
416.67;0.003002575;0.031465;0.5066115
420.00;0.003882795;0.0328811;0.977865
423.33;0.00164272;0.0337124;1.837695
426.67;0.000241645;0.0355237;3.346625
430.00;0.00182378;0.0369338;5.89762
433.33;0.00337035;0.0371897;10.1396
436.67;0.001557259;0.0378972;17.2035
440.00;0.000764861;0.0388566;28.29825
443.33;0.001295745;0.0402964;42.407
446.67;0.001765065;0.0447634;55.92815
450.00;0.002071315;0.0531741;64.72275
453.33;0.002424495;0.0663697;65.3485
456.67;0.002116855;0.0884818;57.6187
460.00;0.001202334;0.122665;45.86655
463.33;0.001374825;0.172913;35.182
466.67;0.00230241;0.254852;26.8361
470.00;0.002353495;0.390686;20.2794
473.33;0.001560345;0.613013;14.9946
476.67;0.00230828;0.964772;10.9007
480.00;0.002712835;1.53515;8.00214
483.33;0.001645056;2.47225;5.969035
486.67;0.0021054;3.91069;4.485245
490.00;0.00332162;6.07988;3.38822
493.33;0.002940845;9.28219;2.574685
496.67;0.002728415;13.7957;1.990155
500.00;0.003854895;19.8389;1.579415
503.33;0.004941035;26.6561;1.27226
506.67;0.00494843;32.6659;1.034765
510.00;0.0040678;37.1448;0.862592
513.33;0.00443789;39.0195;0.7336825
516.67;0.005120245;37.2028;0.62743
520.00;0.00637869;33.1298;0.5473525
523.33;0.006611315;28.5387;0.491037
526.67;0.00491704;24.029;0.447486
530.00;0.005836385;20.0086;0.4111135
533.33;0.00719123;16.6219;0.3849425
536.67;0.00681948;13.675;0.363308
540.00;0.00656093;11.0901;0.342541
543.33;0.00807723;8.93241;0.3260865
546.67;0.009592885;7.1738;0.314784
550.00;0.01073365;5.74423;0.302146
553.33;0.0122945;4.6133;0.290315
556.67;0.0168104;3.73791;0.281339
560.00;0.0223065;3.02832;0.2730285
563.33;0.03030105;2.4361;0.2632895
566.67;0.04475155;1.95903;0.25373
570.00;0.06546295;1.58151;0.244245
573.33;0.0991387;1.27924;0.2375265
576.67;0.142942;1.03519;0.227997
580.00;0.2111705;0.837183;0.215715
583.33;0.3303615;0.684361;0.2063345
586.67;0.531617;0.562611;0.195675
590.00;0.837983;0.46173;0.186655
593.33;1.27925;0.380909;0.1764065
596.67;1.919315;0.320646;0.1694095
600.00;2.86197;0.274233;0.162472
603.33;4.24233;0.23607;0.153775
606.67;6.272695;0.203035;0.1473505
610.00;9.35234;0.176526;0.1404715
613.33;14.0183;0.159283;0.134215
616.67;20.64305;0.14392;0.1311245
620.00;29.1968;0.130975;0.1272575
623.33;39.37415;0.119456;0.122346
626.67;49.67875;0.109929;0.1191595
630.00;54.58355;0.102753;0.1154975
633.33;47.7618;0.0971242;0.112333
636.67;32.27045;0.0920919;0.1130015
640.00;18.0302;0.0862765;0.110625
643.33;9.620065;0.0791092;0.1100965
646.67;5.320955;0.0775255;0.116572
650.00;2.998885;0.072178;0.123613
653.33;1.722865;0.0701644;0.1340405
656.67;1.03222;0.0671699;0.149923
660.00;0.653854;0.0661078;0.171948
663.33;0.440768;0.0682659;0.184436
666.67;0.3102505;0.0664893;0.182334
670.00;0.2233485;0.0630294;0.158593
673.33;0.1731085;0.060784;0.135407
676.67;0.1438525;0.0644993;0.1208505
680.00;0.123385;0.0582087;0.1065345
683.33;0.106559;0.0649737;0.0918425
686.67;0.0999123;0.0620164;0.07971245
690.00;0.09378805;0.0631335;0.0737611
693.33;0.0872662;0.0694305;0.06924165
696.67;0.0854555;0.0695763;0.0648169
700.00;0.07918625;0.0635941;0.0559535
703.33;0.0742359;0.0675685;0.0566235
706.67;0.068441;0.0793692;0.05483965
710.00;0.06454765;0.088269;0.04795335
713.33;0.06077615;0.107699;0.045677
716.67;0.0462444;0.121555;0.0522213
720.00;0.034152165;0.136393;0.0589854
723.33;0.0538817;0.137829;0.0506932
726.67;0.05141125;0.144586;0.04587675
730.00;0.05520885;0.149926;0.0501172
